onset	duration	trial_type	value	sample
3.0	4.0	elbow_flexion	4	3000
10.88	4.0	combing	1	10880
18.68	4.0	pizza_cutting	6	18680
26.16	4.0	elbow_flexion	4	26160
34.08	4.0	soup	9	34080
41.4	4.0	pick_and_place	5	41400
48.88	4.0	weight_lifting	10	48880
56.28	4.0	pizza_cutting	6	56280
64.04	4.0	rest	8	64040
71.84	4.0	drawer	3	71840
79.0	4.0	elbow_flexion	4	79000
86.12	4.0	door	2	86120
93.88	4.0	plate_cleaning	7	93880
101.04	4.0	combing	1	101040
108.32	4.0	soup	9	108320
116.08	4.0	elbow_flexion	4	116080
123.24	4.0	rest	8	123240
130.4	4.0	door	2	130400
137.84	4.0	rest	8	137840
144.96	4.0	weight_lifting	10	144960
152.04	4.0	rest	8	152040
159.72	4.0	pick_and_place	5	159720
166.76	4.0	plate_cleaning	7	166760
174.52	4.0	drawer	3	174520
